Ялта,2013-01-01,1:00,5,7,ясно; без осадков,761,83,северо-восточный,1
Ялта,2013-01-01,7:00,5,7,ясно; без осадков,761,80,восточный,2
Ялта,2013-01-01,19:00,3,5,ясно; без осадков,761,83,восточный,2
Алушта,2013-01-01,1:00,5,7,ясно; без осадков,764,85,юго-восточный,1
Алушта,2013-01-01,7:00,5,7,ясно; без осадков,764,79,восточный,2
Алушта,2013-01-01,19:00,2,4,ясно; без осадков,765,86,юго-восточный,2
Бахчисарай,2013-01-01,1:00,-1,1,ясно; без осадков,752,85,восточный,1
Бахчисарай,2013-01-01,7:00,0,-2,ясно; без осадков,752,79,восточный,2
Бахчисарай,2013-01-01,19:00,-1,1,ясно; без осадков,752,83,юго-восточный,2
Джанкой,2013-01-01,1:00,0,-2,ясно; без осадков,767,87,западный,2
Джанкой,2013-01-01,7:00,0,-2,ясно; без осадков,767,81,восточный,1
Джанкой,2013-01-01,19:00,-1,1,ясно; без осадков,767,90,юго-восточный,2
Евпатория,2013-01-01,1:00,0,2,ясно; без осадков,767,82,северный,1
Евпатория,2013-01-01,7:00,-1,1,ясно; без осадков,767,79,северо-восточный,2
Евпатория,2013-01-01,19:00,4,6,ясно; без осадков,767,81,юго-восточный,3
Саки,2013-01-01,1:00,-1,1,ясно; без осадков,767,85,северный,1
Саки,2013-01-01,7:00,0,-2,ясно; без осадков,767,79,северо-восточный,2
Саки,2013-01-01,19:00,2,4,ясно; без осадков,766,83,юго-восточный,3
Керчь,2013-01-01,1:00,0,2,ясно; без осадков,767,86,северо-западный,4
Керчь,2013-01-01,7:00,-1,1,ясно; без осадков,767,84,северо-западный,3
Керчь,2013-01-01,19:00,2,4,ясно; без осадков,767,83,восточный,1
Красноперекопск,2013-01-01,1:00,-1,-3,ясно; без осадков,768,85,северо-западный,2
Красноперекопск,2013-01-01,7:00,0,-2,ясно; без осадков,767,83,восточный,1
Красноперекопск,2013-01-01,19:00,0,-2,ясно; без осадков,767,90,юго-восточный,2
Щелкино,2013-01-01,1:00,0,2,ясно; без осадков,768,87,северо-западный,4
Щелкино,2013-01-01,7:00,-1,1,ясно; без осадков,768,84,северный,2
Щелкино,2013-01-01,19:00,3,5,ясно; без осадков,767,83,юго-восточный,1
Симферополь,2013-01-01,1:00,-2,-4,ясно; без осадков,746,89,юго-восточный,1
Симферополь,2013-01-01,7:00,-2,-4,ясно; без осадков,745,79,восточный,2
Симферополь,2013-01-01,19:00,-1,-3,ясно; без осадков,745,87,юго-восточный,1
Судак,2013-01-01,1:00,-1,1,ясно; без осадков,766,88,юго-западный,1
Судак,2013-01-01,7:00,1,3,ясно; без осадков,765,77,юго-западный,1
Судак,2013-01-01,19:00,2,4,ясно; без осадков,765,93,южный,2
Феодосия,2013-01-01,1:00,-1,1,ясно; без осадков,767,91,северо-западный,2
Феодосия,2013-01-01,7:00,0,2,ясно; без осадков,766,82,северо-западный,1
Феодосия,2013-01-01,19:00,3,5,ясно; без осадков,766,89,южный,1
Армянск,2013-01-01,1:00,0,-2,ясно; без осадков,767,83,северо-западный,2
Армянск,2013-01-01,7:00,-1,1,ясно; без осадков,767,83,восточный,1
Армянск,2013-01-01,19:00,-1,1,ясно; без осадков,767,89,юго-восточный,2
Черноморское,2013-01-01,1:00,0,2,ясно; без осадков,767,74,северный,2
Черноморское,2013-01-01,7:00,0,2,ясно; без осадков,767,77,северо-восточный,2
Черноморское,2013-01-01,19:00,4,6,ясно; без осадков,767,80,юго-восточный,4
Севастополь,2013-01-01,1:00,2,4,ясно; без осадков,767,82,северный,1
Севастополь,2013-01-01,7:00,1,3,ясно; без осадков,766,79,северо-восточный,2
Севастополь,2013-01-01,19:00,3,5,ясно; без осадков,766,80,юго-восточный,3
Ялта,2013-01-02,1:00,2,4,ясно; без осадков,762,85,восточный,2
Ялта,2013-01-02,7:00,2,4,малооблачно; без осадков,762,84,восточный,2
Ялта,2013-01-02,19:00,4,6,ясно; без осадков,764,87,восточный,3
Алушта,2013-01-02,1:00,2,4,ясно; без осадков,766,88,восточный,1
Алушта,2013-01-02,7:00,2,4,ясно; без осадков,766,87,юго-восточный,2
Алушта,2013-01-02,19:00,3,5,ясно; без осадков,768,89,юго-восточный,2
Бахчисарай,2013-01-02,1:00,-1,1,ясно; без осадков,752,87,юго-восточный,2
