Ялта,2014-01-01,1:00,3,5,пасмурно; без осадков,769,85,северо-восточный,5
Ялта,2014-01-01,7:00,3,5,облачно; без осадков,769,84,северо-восточный,6
Ялта,2014-01-01,13:00,6,8,облачно; без осадков,767,75,северо-восточный,5
Ялта,2014-01-01,19:00,4,6,малооблачно; без осадков,768,89,северо-восточный,5
Алушта,2014-01-01,1:00,2,4,пасмурно; без осадков,767,88,северо-восточный,4
Алушта,2014-01-01,7:00,2,4,облачно; без осадков,767,88,северо-восточный,4
Алушта,2014-01-01,13:00,6,8,облачно; без осадков,766,77,северо-восточный,4
Алушта,2014-01-01,19:00,2,4,облачно; без осадков,767,90,северо-восточный,4
Бахчисарай,2014-01-01,1:00,1,3,пасмурно; без осадков,751,87,северо-восточный,5
Бахчисарай,2014-01-01,7:00,1,3,малооблачно; без осадков,750,87,северо-восточный,5
Бахчисарай,2014-01-01,13:00,5,7,малооблачно; без осадков,749,73,северо-восточный,3
Бахчисарай,2014-01-01,19:00,1,3,малооблачно; без осадков,749,89,северо-восточный,4
Джанкой,2014-01-01,1:00,1,3,пасмурно; без осадков,770,90,северо-восточный,4
Джанкой,2014-01-01,7:00,1,3,пасмурно; без осадков,770,91,северо-восточный,4
Джанкой,2014-01-01,13:00,4,6,облачно; без осадков,770,79,северо-восточный,5
Джанкой,2014-01-01,19:00,2,4,облачно; без осадков,770,88,восточный,5
Евпатория,2014-01-01,1:00,2,4,пасмурно; без осадков,770,88,северо-восточный,6
Евпатория,2014-01-01,7:00,2,4,облачно; без осадков,770,88,северо-восточный,6
Евпатория,2014-01-01,13:00,5,7,малооблачно; без осадков,769,75,северо-восточный,4
Евпатория,2014-01-01,19:00,3,5,малооблачно; без осадков,770,86,северо-восточный,4
Саки,2014-01-01,1:00,2,4,пасмурно; без осадков,770,89,северо-восточный,5
Саки,2014-01-01,7:00,2,4,облачно; без осадков,769,89,северо-восточный,5
Саки,2014-01-01,13:00,5,7,малооблачно; без осадков,768,74,северо-восточный,3
Саки,2014-01-01,19:00,2,4,ясно; без осадков,769,88,северо-восточный,4
Керчь,2014-01-01,1:00,3,5,облачно; без осадков,770,84,северо-восточный,8
Керчь,2014-01-01,7:00,3,5,пасмурно; без осадков,770,88,северо-восточный,8
Керчь,2014-01-01,13:00,4,6,облачно; без осадков,770,81,северо-восточный,8
Керчь,2014-01-01,19:00,4,6,облачно; без осадков,770,81,северо-восточный,7
Красноперекопск,2014-01-01,1:00,0,2,пасмурно; без осадков,771,91,северо-восточный,4
Красноперекопск,2014-01-01,7:00,1,3,пасмурно; без осадков,770,92,северо-восточный,4
Красноперекопск,2014-01-01,13:00,4,6,пасмурно; без осадков,770,79,северо-восточный,5
Красноперекопск,2014-01-01,19:00,2,4,пасмурно; без осадков,770,88,восточный,4
Щелкино,2014-01-01,1:00,2,4,пасмурно; без осадков,767,83,северо-восточный,6
Щелкино,2014-01-01,7:00,2,4,пасмурно; без осадков,767,86,северо-восточный,7
Щелкино,2014-01-01,13:00,4,6,пасмурно; без осадков,767,82,северо-восточный,7
Щелкино,2014-01-01,19:00,4,6,пасмурно; без осадков,767,82,восточный,6
Симферополь,2014-01-01,1:00,-1,1,облачно; без осадков,747,90,северо-восточный,4
Симферополь,2014-01-01,7:00,-1,1,малооблачно; без осадков,747,90,северо-восточный,4
Симферополь,2014-01-01,13:00,4,6,ясно; без осадков,746,73,северо-восточный,2
Симферополь,2014-01-01,19:00,-1,1,ясно; без осадков,746,93,восточный,3
Судак,2014-01-01,1:00,0,2,пасмурно; без осадков,767,92,северный,2
Судак,2014-01-01,7:00,1,3,пасмурно; без осадков,767,93,северо-восточный,3
Судак,2014-01-01,13:00,4,6,пасмурно; без осадков,767,83,северо-восточный,3
Судак,2014-01-01,19:00,2,4,облачно; без осадков,767,92,северо-восточный,2
Феодосия,2014-01-01,1:00,1,3,пасмурно; без осадков,770,90,северо-восточный,3
Феодосия,2014-01-01,7:00,1,3,облачно; без осадков,770,92,северо-восточный,4
Феодосия,2014-01-01,13:00,4,6,пасмурно; без осадков,769,82,северо-восточный,4
Феодосия,2014-01-01,19:00,2,4,облачно; без осадков,770,89,северо-восточный,2
Армянск,2014-01-01,1:00,0,2,пасмурно; без осадков,770,90,северо-восточный,4
Армянск,2014-01-01,7:00,1,3,пасмурно; без осадков,770,91,северо-восточный,4
Армянск,2014-01-01,13:00,3,5,пасмурно; без осадков,769,79,северо-восточный,5
Армянск,2014-01-01,19:00,2,4,пасмурно; без осадков,769,88,восточный,4
Черноморское,2014-01-01,1:00,3,5,пасмурно; без осадков,770,85,северо-восточный,7
Черноморское,2014-01-01,7:00,3,5,пасмурно; без осадков,769,87,северо-восточный,8
Черноморское,2014-01-01,13:00,4,6,пасмурно; без осадков,768,79,северо-восточный,6
Черноморское,2014-01-01,19:00,4,6,облачно; без осадков,769,82,северо-восточный,5
Севастополь,2014-01-01,1:00,3,5,пасмурно; без осадков,770,85,северо-восточный,6
Севастополь,2014-01-01,7:00,3,5,облачно; без осадков,770,84,северо-восточный,7
Севастополь,2014-01-01,13:00,5,7,облачно; без осадков,769,75,северо-восточный,4
Севастополь,2014-01-01,19:00,5,7,малооблачно; без осадков,769,85,северо-восточный,5
Ялта,2014-01-02,1:00,3,5,облачно; без осадков,767,90,северо-восточный,4
Ялта,2014-01-02,7:00,3,5,облачно; без осадков,767,85,восточный,3
Ялта,2014-01-02,13:00,7,9,малооблачно; без осадков,767,73,северо-восточный,3
Ялта,2014-01-02,19:00,4,6,ясно; без осадков,767,83,восточный,3
Алушта,2014-01-02,1:00,1,3,малооблачно; без осадков,766,92,северо-восточный,2
Алушта,2014-01-02,7:00,2,4,малооблачно; без осадков,765,88,восточный,2
Алушта,2014-01-02,13:00,6,8,малооблачно; без осадков,764,75,северо-восточный,2
Алушта,2014-01-02,19:00,3,5,малооблачно; без осадков,765,87,восточный,2
Бахчисарай,2014-01-02,1:00,0,2,малооблачно; без осадков,749,91,северо-восточный,3
Бахчисарай,2014-01-02,7:00,0,2,малооблачно; без осадков,749,89,восточный,2
Бахчисарай,2014-01-02,13:00,5,7,малооблачно; без осадков,748,74,северо-восточный,2
Бахчисарай,2014-01-02,19:00,1,3,ясно; без осадков,749,88,восточный,3
Джанкой,2014-01-02,1:00,0,2,малооблачно; без осадков,769,93,восточный,3
Джанкой,2014-01-02,7:00,1,3,облачно; без осадков,769,93,восточный,3
Джанкой,2014-01-02,13:00,4,6,облачно; без осадков,767,78,северо-восточный,4
Джанкой,2014-01-02,19:00,1,3,облачно; без осадков,768,90,северо-восточный,3
Евпатория,2014-01-02,1:00,2,4,малооблачно; без осадков,769,89,северо-восточный,3
Евпатория,2014-01-02,7:00,3,5,малооблачно; без осадков,768,88,восточный,3
Евпатория,2014-01-02,13:00,6,8,ясно; без осадков,767,79,северо-восточный,3
Евпатория,2014-01-02,19:00,3,5,ясно; без осадков,767,89,северо-восточный,4
Саки,2014-01-02,1:00,1,3,малооблачно; без осадков,768,91,северо-восточный,2
Саки,2014-01-02,7:00,1,3,малооблачно; без осадков,767,90,восточный,2
Саки,2014-01-02,13:00,6,8,ясно; без осадков,767,77,северо-восточный,2
Саки,2014-01-02,19:00,2,4,ясно; без осадков,767,91,северо-восточный,3
Керчь,2014-01-02,1:00,3,5,малооблачно; без осадков,770,87,северо-восточный,7
Керчь,2014-01-02,7:00,2,4,облачно; без осадков,769,89,северо-восточный,6
Керчь,2014-01-02,13:00,4,6,облачно; без осадков,768,79,северо-восточный,4
Керчь,2014-01-02,19:00,4,6,облачно; без осадков,768,85,северо-восточный,5
Красноперекопск,2014-01-02,1:00,0,2,малооблачно; без осадков,769,93,восточный,3
Красноперекопск,2014-01-02,7:00,1,3,пасмурно; без осадков,769,94,восточный,4
Красноперекопск,2014-01-02,13:00,3,5,пасмурно; без осадков,768,79,восточный,4
Красноперекопск,2014-01-02,19:00,1,3,облачно; без осадков,768,90,северо-восточный,3
Щелкино,2014-01-02,1:00,3,5,облачно; без осадков,767,88,северо-восточный,6
Щелкино,2014-01-02,7:00,2,4,облачно; без осадков,766,89,северо-восточный,5
Щелкино,2014-01-02,13:00,4,6,пасмурно; без осадков,765,80,северо-восточный,4
Щелкино,2014-01-02,19:00,4,6,облачно; без осадков,765,86,северо-восточный,4
Симферополь,2014-01-02,1:00,-1,-3,ясно; без осадков,746,94,восточный,1
Симферополь,2014-01-02,7:00,0,-2,ясно; без осадков,746,92,восточный,1
Симферополь,2014-01-02,13:00,5,7,ясно; без осадков,745,74,северный,2
Симферополь,2014-01-02,19:00,-1,1,ясно; без осадков,745,93,восточный,2
Судак,2014-01-02,1:00,0,2,облачно; без осадков,767,96,восточный,1
Судак,2014-01-02,7:00,1,3,облачно; без осадков,766,93,восточный,1
Судак,2014-01-02,13:00,5,7,малооблачно; без осадков,765,79,северо-восточный,1
Судак,2014-01-02,19:00,2,4,облачно; без осадков,765,92,восточный,1
Феодосия,2014-01-02,1:00,1,3,облачно; без осадков,769,93,северо-восточный,2
Феодосия,2014-01-02,7:00,1,3,малооблачно; без осадков,769,95,северо-восточный,2
Феодосия,2014-01-02,13:00,5,7,облачно; без осадков,767,80,северо-восточный,2
Феодосия,2014-01-02,19:00,3,5,облачно; без осадков,768,92,северо-восточный,2
Армянск,2014-01-02,1:00,1,3,малооблачно; без осадков,768,93,восточный,4
Армянск,2014-01-02,7:00,1,3,пасмурно; без осадков,768,94,восточный,4
Армянск,2014-01-02,13:00,3,5,пасмурно; без осадков,767,81,восточный,5
Армянск,2014-01-02,19:00,1,3,облачно; без осадков,767,89,восточный,3
Черноморское,2014-01-02,1:00,4,6,облачно; без осадков,768,85,северо-восточный,4
Черноморское,2014-01-02,7:00,4,6,пасмурно; без осадков,767,87,восточный,5
