Ялта,2015-01-06,2:00,1,3,ясно; без осадков,757,75,северо-западный,5
Ялта,2015-01-06,8:00,0,2,пасмурно; без осадков,756,72,северо-западный,4
Ялта,2015-01-06,14:00,1,3,пасмурно; без осадков,755,73,северный,6
Ялта,2015-01-06,20:00,0,-2,пасмурно; без осадков,757,87,северо-западный,8
Алушта,2015-01-06,2:00,-1,1,ясно; без осадков,755,79,северо-западный,5
Алушта,2015-01-06,8:00,0,-2,пасмурно; без осадков,755,82,северо-западный,4
Алушта,2015-01-06,14:00,0,2,пасмурно; без осадков,753,73,северный,6
Алушта,2015-01-06,20:00,0,-2,пасмурно; без осадков,755,84,северо-западный,7
Бахчисарай,2015-01-06,2:00,-4,-6,ясно; без осадков,739,90,восточный,3
Бахчисарай,2015-01-06,8:00,-4,-6,пасмурно; без осадков,739,88,северо-восточный,3
Бахчисарай,2015-01-06,14:00,-1,-3,пасмурно; без осадков,737,73,северный,5
Бахчисарай,2015-01-06,20:00,-4,-6,пасмурно; без осадков,740,82,северный,5
Джанкой,2015-01-06,2:00,-2,-4,облачно; без осадков,758,89,западный,2
Джанкой,2015-01-06,8:00,-1,-3,пасмурно; без осадков,758,71,северный,3
Джанкой,2015-01-06,14:00,0,-2,пасмурно; без осадков,758,60,северный,5
Джанкой,2015-01-06,20:00,-3,-5,облачно; без осадков,760,69,северо-западный,6
Евпатория,2015-01-06,2:00,0,2,ясно; без осадков,758,83,северный,5
Евпатория,2015-01-06,8:00,-1,1,облачно; без осадков,758,72,северо-восточный,6
Евпатория,2015-01-06,14:00,0,2,пасмурно; без осадков,758,77,северный,7
Евпатория,2015-01-06,20:00,-1,-3,ясно; без осадков,760,75,северный,9
Саки,2015-01-06,2:00,-2,-4,ясно; без осадков,758,88,северо-восточный,2
Саки,2015-01-06,8:00,-2,-4,пасмурно; без осадков,758,81,северный,3
Саки,2015-01-06,14:00,-1,1,пасмурно; без осадков,757,68,северный,6
Саки,2015-01-06,20:00,-3,-5,ясно; без осадков,759,67,северный,6
Керчь,2015-01-06,2:00,0,-2,малооблачно; без осадков,758,88,западный,4
Керчь,2015-01-06,8:00,-1,1,пасмурно; без осадков,758,76,северный,4
Керчь,2015-01-06,14:00,-1,1,пасмурно; без осадков,756,72,северный,7
Керчь,2015-01-06,20:00,-1,1,пасмурно; без осадков,758,67,северный,7
Красноперекопск,2015-01-06,2:00,-1,-3,облачно; без осадков,758,82,северо-западный,2
Красноперекопск,2015-01-06,8:00,-1,-3,облачно; без осадков,758,83,северный,2
Красноперекопск,2015-01-06,14:00,0,-2,пасмурно; без осадков,758,56,северный,6
Красноперекопск,2015-01-06,20:00,-5,-7,ясно; без осадков,761,63,северный,6
Щелкино,2015-01-06,2:00,-1,1,облачно; без осадков,755,88,западный,6
Щелкино,2015-01-06,8:00,0,-2,пасмурно; без осадков,755,74,северный,6
Щелкино,2015-01-06,14:00,0,-2,пасмурно; без осадков,754,70,северный,8
Щелкино,2015-01-06,20:00,0,-2,облачно; без осадков,755,75,северо-западный,9
Симферополь,2015-01-06,2:00,-2,-4,ясно; без осадков,736,89,восточный,1
Симферополь,2015-01-06,8:00,-5,-7,пасмурно; без осадков,736,93,северо-восточный,4
Симферополь,2015-01-06,14:00,-1,-3,пасмурно; без осадков,734,75,северный,6
Симферополь,2015-01-06,20:00,-4,-6,пасмурно; без осадков,737,85,северный,6
Судак,2015-01-06,2:00,-1,1,ясно; без осадков,755,80,северо-западный,6
Судак,2015-01-06,8:00,0,-2,пасмурно; без осадков,755,82,северный,7
Судак,2015-01-06,14:00,-1,1,пасмурно; без осадков,753,73,северный,9
Судак,2015-01-06,20:00,0,-2,пасмурно; без осадков,755,84,северо-западный,9
Феодосия,2015-01-06,2:00,-1,1,малооблачно; без осадков,758,83,северо-западный,6
Феодосия,2015-01-06,8:00,-1,1,пасмурно; без осадков,758,77,северо-западный,5
Феодосия,2015-01-06,14:00,-1,1,пасмурно; без осадков,756,71,северный,8
Феодосия,2015-01-06,20:00,0,-2,облачно; без осадков,758,74,северо-западный,9
Армянск,2015-01-06,2:00,-1,-3,облачно; без осадков,758,79,северо-западный,3
Армянск,2015-01-06,8:00,-1,-3,малооблачно; без осадков,758,82,северный,3
Армянск,2015-01-06,14:00,-1,-3,пасмурно; без осадков,758,58,северный,7
Армянск,2015-01-06,20:00,-4,-6,ясно; без осадков,761,65,северный,8
Черноморское,2015-01-06,2:00,-1,1,ясно; без осадков,758,84,северный,4
Черноморское,2015-01-06,8:00,0,-2,облачно; без осадков,758,81,северный,4
Черноморское,2015-01-06,14:00,-1,1,пасмурно; без осадков,758,69,северный,7
Черноморское,2015-01-06,20:00,-3,-5,пасмурно; без осадков,761,60,северный,8
Севастополь,2015-01-06,2:00,0,-2,ясно; без осадков,758,82,северо-восточный,4
Севастополь,2015-01-06,8:00,0,-2,пасмурно; без осадков,758,83,северный,6
Севастополь,2015-01-06,14:00,0,2,пасмурно; без осадков,756,68,северный,8
