Ялта,2016-01-01,2:00,-8,-10,ясно; без осадков,768,68,северо-западный,2
Ялта,2016-01-01,8:00,-5,-7,пасмурно; без осадков,767,51,северо-западный,1
Ялта,2016-01-01,14:00,-1,-3,пасмурно; без осадков,766,67,восточный,2
Ялта,2016-01-01,20:00,-3,-5,малооблачно; без осадков,767,75,северо-восточный,1
Алушта,2016-01-01,2:00,-7,-9,ясно; без осадков,766,69,северо-западный,2
Алушта,2016-01-01,8:00,-6,-8,малооблачно; без осадков,765,61,северо-западный,1
Алушта,2016-01-01,14:00,-1,-3,пасмурно; без осадков,764,58,восточный,2
Алушта,2016-01-01,20:00,-4,-6,облачно; без осадков,765,61,северный,2
Бахчисарай,2016-01-01,2:00,-10,-12,ясно; без осадков,749,74,северо-восточный,2
Бахчисарай,2016-01-01,8:00,-8,-10,пасмурно; без осадков,748,62,северо-восточный,2
Бахчисарай,2016-01-01,14:00,-3,-5,пасмурно; без осадков,747,46,северный,3
Бахчисарай,2016-01-01,20:00,-7,-9,облачно; без осадков,748,55,северный,3
Джанкой,2016-01-01,2:00,-8,-10,ясно; без осадков,768,75,северо-западный,3
Джанкой,2016-01-01,8:00,-8,-10,облачно; без осадков,768,75,северный,2
Джанкой,2016-01-01,14:00,-4,-6,пасмурно; без осадков,768,48,северный,3
Джанкой,2016-01-01,20:00,-6,-8,ясно; без осадков,769,50,северный,4
Евпатория,2016-01-01,2:00,-3,-5,малооблачно; без осадков,769,64,северо-восточный,4
Евпатория,2016-01-01,8:00,-4,-6,пасмурно; без осадков,768,77,северо-восточный,6
Евпатория,2016-01-01,14:00,-2,-4,облачно; без осадков,767,59,северо-восточный,6
Евпатория,2016-01-01,20:00,-4,-6,облачно; без осадков,769,66,северо-восточный,8
Саки,2016-01-01,2:00,-8,-10,ясно; без осадков,768,76,северо-восточный,2
Саки,2016-01-01,8:00,-6,-8,малооблачно; без осадков,768,69,северо-восточный,3
Саки,2016-01-01,14:00,-3,-5,пасмурно; без осадков,767,43,северо-восточный,4
Саки,2016-01-01,20:00,-6,-8,облачно; без осадков,768,51,северо-восточный,5
Керчь,2016-01-01,2:00,-4,-6,пасмурно; без осадков,768,70,восточный,3
Керчь,2016-01-01,8:00,-5,-7,облачно; без осадков,768,73,восточный,4
Керчь,2016-01-01,14:00,-4,-6,пасмурно; без осадков,768,61,восточный,4
Керчь,2016-01-01,20:00,-5,-7,ясно; без осадков,769,70,восточный,6
Красноперекопск,2016-01-01,2:00,-8,-10,пасмурно; без осадков,769,75,северный,3
Красноперекопск,2016-01-01,8:00,-6,-8,пасмурно; без осадков,769,70,северо-восточный,2
Красноперекопск,2016-01-01,14:00,-4,-6,пасмурно; без осадков,769,45,северо-восточный,4
Красноперекопск,2016-01-01,20:00,-7,-9,ясно; без осадков,770,60,северо-восточный,2
Щелкино,2016-01-01,2:00,-3,-5,пасмурно; без осадков,765,59,северный,3
Щелкино,2016-01-01,8:00,-4,-6,пасмурно; без осадков,765,76,северный,4
Щелкино,2016-01-01,14:00,-3,-5,облачно; без осадков,765,54,восточный,2
Щелкино,2016-01-01,20:00,-4,-6,малооблачно; без осадков,766,61,восточный,4
Симферополь,2016-01-01,2:00,-9,-11,ясно; без осадков,745,73,северо-восточный,2
Симферополь,2016-01-01,8:00,-9,-11,ясно; без осадков,745,71,северо-восточный,2
Симферополь,2016-01-01,14:00,-4,-6,пасмурно; без осадков,744,48,северный,4
Симферополь,2016-01-01,20:00,-8,-10,пасмурно; без осадков,745,61,северо-восточный,3
Судак,2016-01-01,2:00,-5,-7,ясно; без осадков,765,70,северо-западный,5
Судак,2016-01-01,8:00,-5,-7,ясно; без осадков,765,77,северо-западный,5
Судак,2016-01-01,14:00,-2,-4,облачно; без осадков,764,49,северный,3
Судак,2016-01-01,20:00,-4,-6,облачно; без осадков,766,70,северный,4
Феодосия,2016-01-01,2:00,-5,-7,облачно; без осадков,767,70,северо-западный,5
Феодосия,2016-01-01,8:00,-5,-7,облачно; без осадков,768,74,северо-западный,5
Феодосия,2016-01-01,14:00,-2,-4,пасмурно; без осадков,767,56,северо-западный,4
Феодосия,2016-01-01,20:00,-3,-5,облачно; без осадков,768,70,северный,2
Армянск,2016-01-01,2:00,-5,-7,пасмурно; без осадков,768,68,северный,3
Армянск,2016-01-01,8:00,-6,-8,пасмурно; без осадков,768,68,северный,4
Армянск,2016-01-01,14:00,-5,-7,пасмурно; без осадков,768,51,северо-восточный,4
Армянск,2016-01-01,20:00,-5,-7,малооблачно; без осадков,769,58,северо-восточный,4
Черноморское,2016-01-01,2:00,-3,-5,пасмурно; без осадков,768,68,восточный,3
Черноморское,2016-01-01,8:00,-4,-6,малооблачно; без осадков,767,75,северо-восточный,5
Черноморское,2016-01-01,14:00,-3,-5,облачно; без осадков,767,59,северо-восточный,5
Черноморское,2016-01-01,20:00,-4,-6,малооблачно; без осадков,768,59,северо-восточный,5
Севастополь,2016-01-01,2:00,-6,-8,ясно; без осадков,768,65,северо-восточный,4
Севастополь,2016-01-01,8:00,-5,-7,облачно; без осадков,767,58,северо-восточный,4
Севастополь,2016-01-01,14:00,-1,-3,пасмурно; без осадков,767,49,северный,5
Севастополь,2016-01-01,20:00,-4,-6,малооблачно; без осадков,767,58,северный,5
Ялта,2016-01-02,2:00,-6,-8,облачно; без осадков,767,70,северный,2
Ялта,2016-01-02,8:00,-4,-6,пасмурно; без осадков,767,55,северный,2
Ялта,2016-01-02,14:00,0,-2,ясно; без осадков,767,29,юго-западный,1
Ялта,2016-01-02,20:00,-3,-5,пасмурно; без осадков,767,36,западный,1
Алушта,2016-01-02,2:00,-6,-8,малооблачно; без осадков,765,69,северо-западный,2
Алушта,2016-01-02,8:00,-5,-7,пасмурно; без осадков,765,63,северный,1
Алушта,2016-01-02,14:00,-2,-4,малооблачно; без осадков,765,39,северный,1
Алушта,2016-01-02,20:00,-5,-7,пасмурно; без осадков,766,55,северо-западный,2
Бахчисарай,2016-01-02,2:00,-9,-11,ясно; без осадков,748,68,северо-восточный,3
Бахчисарай,2016-01-02,8:00,-8,-10,пасмурно; без осадков,748,74,северный,2
Бахчисарай,2016-01-02,14:00,-5,-7,ясно; без осадков,749,56,северный,3
Бахчисарай,2016-01-02,20:00,-9,-11,пасмурно; без осадков,749,60,северный,2
Джанкой,2016-01-02,2:00,-7,-9,малооблачно; без осадков,768,63,северный,4
Джанкой,2016-01-02,8:00,-6,-8,пасмурно; без осадков,768,76,северный,2
Джанкой,2016-01-02,14:00,-4,-6,пасмурно; без осадков,768,62,северо-западный,4
Джанкой,2016-01-02,20:00,-6,-8,пасмурно; без осадков,768,78,западный,4
Евпатория,2016-01-02,2:00,-4,-6,облачно; без осадков,768,70,северо-восточный,8
Евпатория,2016-01-02,8:00,-5,-7,облачно; без осадков,769,82,северный,7
Евпатория,2016-01-02,14:00,-4,-6,пасмурно; без осадков,769,65,северный,5
Евпатория,2016-01-02,20:00,-5,-7,пасмурно; без осадков,770,63,северо-западный,5
Саки,2016-01-02,2:00,-7,-9,малооблачно; без осадков,768,58,северный,5
Саки,2016-01-02,8:00,-7,-9,облачно; без осадков,768,66,северный,4
Саки,2016-01-02,14:00,-4,-6,пасмурно; без осадков,769,52,северный,4
Саки,2016-01-02,20:00,-7,-9,облачно; без осадков,769,55,северный,2
Керчь,2016-01-02,2:00,-6,-8,облачно; без осадков,769,78,восточный,6
Керчь,2016-01-02,8:00,-6,-8,пасмурно; без осадков,769,78,северо-восточный,7
Керчь,2016-01-02,14:00,-4,-6,пасмурно; без осадков,768,72,северо-восточный,6
Керчь,2016-01-02,20:00,-5,-7,пасмурно; без осадков,769,76,восточный,4
Красноперекопск,2016-01-02,2:00,-8,-10,ясно; без осадков,770,63,северный,3
Красноперекопск,2016-01-02,8:00,-8,-10,пасмурно; без осадков,770,66,северный,4
Красноперекопск,2016-01-02,14:00,-5,-7,пасмурно; без осадков,770,57,северный,5
Красноперекопск,2016-01-02,20:00,-6,-8,пасмурно; без осадков,770,68,северный,5
Щелкино,2016-01-02,2:00,-5,-7,облачно; без осадков,766,70,восточный,5
Щелкино,2016-01-02,8:00,-5,-7,облачно; без осадков,766,73,восточный,7
Щелкино,2016-01-02,14:00,-3,-5,пасмурно; без осадков,765,60,северо-восточный,5
Щелкино,2016-01-02,20:00,-5,-7,пасмурно; без осадков,766,72,юго-восточный,3
Симферополь,2016-01-02,2:00,-9,-11,малооблачно; без осадков,745,74,северо-восточный,3
Симферополь,2016-01-02,8:00,-8,-10,облачно; без осадков,745,80,северо-восточный,2
Симферополь,2016-01-02,14:00,-6,-8,пасмурно; без осадков,746,59,северный,3
Симферополь,2016-01-02,20:00,-9,-11,пасмурно; без осадков,746,65,северо-западный,1
Судак,2016-01-02,2:00,-5,-7,ясно; без осадков,765,77,северный,4
Судак,2016-01-02,8:00,-4,-6,малооблачно; без осадков,765,76,северо-восточный,4
Судак,2016-01-02,14:00,-3,-5,облачно; без осадков,765,58,северо-западный,4
Судак,2016-01-02,20:00,-6,-8,пасмурно; без осадков,766,71,северо-западный,5
Феодосия,2016-01-02,2:00,-5,-7,малооблачно; без осадков,768,81,северный,3
Феодосия,2016-01-02,8:00,-4,-6,малооблачно; без осадков,768,80,северо-восточный,5
Феодосия,2016-01-02,14:00,-3,-5,пасмурно; без осадков,768,56,северный,4
Феодосия,2016-01-02,20:00,-6,-8,облачно; без осадков,769,71,западный,5
Армянск,2016-01-02,2:00,-7,-9,ясно; без осадков,769,61,северный,5
Армянск,2016-01-02,8:00,-7,-9,пасмурно; без осадков,769,65,северный,6
Армянск,2016-01-02,14:00,-6,-8,пасмурно; без осадков,769,64,северный,5
Армянск,2016-01-02,20:00,-6,-8,пасмурно; без осадков,769,70,северный,6
Черноморское,2016-01-02,2:00,-5,-7,облачно; без осадков,768,61,северо-восточный,6
Черноморское,2016-01-02,8:00,-5,-7,ясно; без осадков,768,65,северо-восточный,6
Черноморское,2016-01-02,14:00,-6,-8,пасмурно; без осадков,769,63,северный,5
Черноморское,2016-01-02,20:00,-5,-7,пасмурно; без осадков,770,61,северный,5
Севастополь,2016-01-02,2:00,-6,-8,ясно; без осадков,767,70,северо-восточный,6
Севастополь,2016-01-02,8:00,-5,-7,пасмурно; без осадков,767,74,северный,5
Севастополь,2016-01-02,14:00,-4,-6,малооблачно; без осадков,768,61,северный,5
Севастополь,2016-01-02,20:00,-6,-8,облачно; без осадков,769,63,северный,5
Ялта,2016-01-03,2:00,-6,-8,ясно; без осадков,767,52,северо-западный,2
Ялта,2016-01-03,8:00,-7,-9,ясно; без осадков,767,48,северо-западный,3
Ялта,2016-01-03,14:00,-2,-4,ясно; без осадков,766,27,западный,2
Ялта,2016-01-03,20:00,-6,-8,пасмурно; снег,767,62,северный,2
Алушта,2016-01-03,2:00,-7,-9,ясно; без осадков,765,68,западный,3
Алушта,2016-01-03,8:00,-7,-9,ясно; без осадков,765,67,западный,3
Алушта,2016-01-03,14:00,-3,-5,ясно; без осадков,764,39,северо-западный,3
Алушта,2016-01-03,20:00,-7,-9,пасмурно; без осадков,765,58,северный,2
Бахчисарай,2016-01-03,2:00,-10,-12,малооблачно; без осадков,749,78,северный,2
Бахчисарай,2016-01-03,8:00,-10,-12,ясно; без осадков,749,80,северо-восточный,2
Бахчисарай,2016-01-03,14:00,-5,-7,облачно; без осадков,748,45,северный,4
Бахчисарай,2016-01-03,20:00,-8,-10,пасмурно; без осадков,748,58,северный,2
Джанкой,2016-01-03,2:00,-7,-9,пасмурно; без осадков,767,72,северо-западный,5
Джанкой,2016-01-03,8:00,-8,-10,пасмурно; без осадков,767,75,северо-западный,5
Джанкой,2016-01-03,14:00,-6,-8,малооблачно; без осадков,768,53,северный,3
Джанкой,2016-01-03,20:00,-8,-10,пасмурно; без осадков,768,56,северо-западный,2
Евпатория,2016-01-03,2:00,-5,-7,малооблачно; без осадков,769,83,северный,6
Евпатория,2016-01-03,8:00,-6,-8,облачно; без осадков,769,85,северный,6
Евпатория,2016-01-03,14:00,-5,-7,пасмурно; без осадков,768,58,северный,4
Евпатория,2016-01-03,20:00,-5,-7,пасмурно; без осадков,768,64,северо-восточный,5
Саки,2016-01-03,2:00,-8,-10,ясно; без осадков,768,79,северный,2
